Date,Open,High,Low,Close,Adj Close,Volume
2008-10-15,41.220001,42.250000,40.549999,40.869999,22.738890,2458100
2008-10-16,41.000000,41.830002,39.310001,41.480000,23.078276,2659500
2008-10-17,41.450001,44.490002,40.599998,43.750000,24.341238,4294700
2008-10-20,44.689999,44.740002,43.259998,44.290001,24.641676,2794400
2008-10-21,43.619999,44.970001,42.930000,43.049999,23.951777,1758700
2008-10-22,42.000000,42.650002,41.160000,41.160000,22.900244,1937300
2008-10-23,41.750000,44.240002,40.889999,44.240002,24.613861,3371200
2008-10-24,41.000000,43.750000,41.000000,43.060001,23.957344,3679500
2008-10-27,42.980000,43.970001,41.000000,41.000000,22.811211,2194100
2008-10-28,42.980000,43.590000,41.029999,43.360001,24.124249,2035200
2008-10-29,42.790001,43.750000,41.840000,42.740002,24.169495,2189000
2008-10-30,43.259998,44.099998,42.730000,44.099998,24.938566,1582000
2008-10-31,43.500000,44.200001,42.639999,43.020000,24.327831,2221900
2008-11-03,43.509998,44.250000,42.799999,43.250000,24.457897,1669700
2008-11-04,43.950001,45.000000,43.410000,44.919998,25.402283,1748900
2008-11-05,44.880001,44.880001,42.799999,42.950001,24.288252,3137300
2008-11-06,42.900002,43.279999,41.610001,43.099998,24.373074,2010300
2008-11-07,43.009998,43.389999,42.020000,42.259998,23.898048,1490400
2008-11-10,42.889999,42.950001,41.750000,42.099998,23.807571,2299400
2008-11-11,41.750000,42.799999,41.610001,41.910000,23.700121,1528600
2008-11-12,41.750000,42.160000,40.549999,42.049999,23.779291,1762200
2008-11-13,42.000000,43.040001,40.000000,43.040001,24.339146,2803100
2008-11-14,42.250000,42.950001,41.259998,41.450001,23.440004,1873400
2008-11-17,41.450001,41.599998,39.549999,39.900002,22.563475,2202800
2008-11-18,40.009998,40.799999,39.200001,40.500000,22.902769,2681300
2008-11-19,39.889999,39.900002,37.099998,38.000000,21.489021,4051000
2008-11-20,37.000000,37.049999,32.290001,33.340000,18.853785,4312100
2008-11-21,37.369999,37.369999,29.100000,32.410000,18.327877,5962200
2008-11-24,32.200001,35.250000,30.260000,34.119999,19.294872,4433900
2008-11-25,35.689999,37.250000,32.730000,34.950001,19.764242,5372100
2008-11-26,34.250000,34.799999,33.330002,34.290001,19.391016,2884200
2008-11-27,34.279999,35.900002,34.099998,35.560001,20.109196,1603800
2008-11-28,35.439999,38.000000,34.759998,38.000000,21.489021,3224400
2008-12-01,36.150002,36.759998,35.130001,35.400002,20.018717,3301700
2008-12-02,35.200001,35.700001,33.520000,33.880001,19.159155,2672800
2008-12-03,33.000000,35.000000,33.000000,34.680000,19.611561,2625500
2008-12-04,34.700001,35.779999,33.910000,34.049999,19.255291,3046300
2008-12-05,33.549999,34.900002,33.200001,34.900002,19.735968,1915400
2008-12-08,36.110001,36.939999,35.680000,36.119999,20.425879,2413600
2008-12-09,35.549999,35.750000,34.470001,34.650002,19.594593,2330000
2008-12-10,35.299999,35.299999,33.369999,34.259998,19.374048,2022600
2008-12-11,33.759998,34.349998,32.750000,33.139999,18.740683,1768200
2008-12-12,32.480000,34.299999,32.099998,33.580002,18.989513,2159100
2008-12-15,33.180000,33.549999,32.020000,32.570000,18.418350,2324600
2008-12-16,30.000000,30.480000,29.809999,30.350000,17.162945,14146700
2008-12-17,30.200001,30.250000,30.100000,30.139999,17.044189,109700
2008-12-18,30.350000,30.350000,28.889999,29.780001,16.840605,4797300
2008-12-19,29.780001,30.080000,29.209999,30.049999,16.993290,7928600
2008-12-22,30.000000,30.040001,29.250000,29.520000,16.693575,2315900
2008-12-23,29.700001,29.980000,29.360001,29.980000,16.953703,2992100
2008-12-24,29.950001,29.980000,29.510000,29.510000,16.687920,1229700
2008-12-29,29.879999,30.879999,29.620001,30.879999,17.462650,5482700
2008-12-30,30.700001,30.940001,30.360001,30.900000,17.473965,2672200
2008-12-31,30.900000,31.350000,30.629999,31.250000,17.671888,2191100
2009-01-02,30.950001,32.250000,30.709999,32.150002,18.180845,2004700
2009-01-05,32.349998,33.200001,31.510000,32.529999,18.395733,3671600
2009-01-06,33.380001,34.790001,32.900002,34.660000,19.600254,3959700
2009-01-07,33.900002,34.250000,33.299999,33.910000,19.176123,3017000
2009-01-08,33.700001,34.189999,33.320000,33.889999,19.164810,2775400
2009-01-09,34.099998,34.360001,33.200001,33.590000,18.995167,2232700
2009-01-12,33.400002,33.770000,32.450001,32.810001,18.554070,2124900
2009-01-13,33.150002,33.639999,32.860001,33.450001,18.915997,2615700
2009-01-14,33.000000,33.080002,31.910000,32.740002,18.514486,3204500
2009-01-15,32.849998,32.990002,31.260000,32.599998,18.435314,3310100
2009-01-16,33.200001,33.200001,31.690001,32.299999,18.265667,2028000
2009-01-19,31.900000,32.250000,31.559999,31.650000,17.898096,1340900
2009-01-20,31.629999,31.700001,30.150000,30.350000,17.162945,3781200
2009-01-21,31.000000,31.500000,29.600000,31.469999,17.796299,7140500
2009-01-22,30.799999,30.990000,29.889999,30.120001,17.032873,5177300
2009-01-23,29.790001,30.750000,29.420000,30.469999,17.230801,3848000
2009-01-26,30.990000,31.490000,30.170000,30.850000,17.445688,2559600
2009-01-27,31.000000,32.799999,31.000000,32.689999,18.486208,3415000
2009-01-28,33.900002,34.529999,33.410000,33.700001,19.057364,3948900
2009-01-29,33.400002,33.599998,32.459999,32.560001,18.412699,2901800
2009-01-30,33.099998,33.250000,31.790001,33.250000,18.802891,3295000
2009-02-02,32.259998,32.919998,31.750000,32.099998,18.152569,3043800
2009-02-03,32.369999,32.950001,31.850000,32.669998,18.474901,5566900
2009-02-04,32.290001,32.650002,31.030001,31.700001,18.318876,7560700
2009-02-05,31.410000,32.189999,30.879999,32.000000,18.492233,3160000
2009-02-06,32.000000,32.290001,31.510000,32.049999,18.521128,3764700
2009-02-09,32.090000,32.090000,31.469999,31.780001,18.365108,2586600
2009-02-10,31.510000,31.690001,30.090000,30.360001,17.544516,4992700
2009-02-11,30.510000,30.730000,29.920000,29.980000,17.324917,3072800
2009-02-12,29.980000,30.299999,29.350000,30.299999,17.509842,2992600
2009-02-13,30.180000,30.219999,29.590000,29.750000,17.192005,2856900
2009-02-17,29.450001,29.450001,28.010000,28.080000,16.226934,3984100
2009-02-18,28.200001,28.330000,26.500000,26.600000,15.371669,4576400
2009-02-19,27.360001,27.740000,25.820000,26.000000,15.024948,4576400
2009-02-20,25.500000,25.500000,24.260000,24.660000,14.250584,5601800
2009-02-23,25.500000,26.070000,24.389999,24.510000,14.163894,5465200
2009-02-24,24.750000,26.330000,24.049999,26.000000,15.024948,5351700
2009-02-25,26.250000,27.379999,24.830000,25.780001,14.897808,4679000
2009-02-26,27.090000,28.879999,27.080000,28.850000,16.671907,6087800
2009-02-27,27.600000,28.350000,27.299999,28.290001,16.348291,4670700
2009-03-02,27.299999,27.389999,26.139999,26.990000,15.597049,3755400
2009-03-03,27.639999,28.100000,26.510000,27.639999,15.972668,6011800
2009-03-04,28.709999,28.850000,27.559999,28.370001,16.394522,5479500
2009-03-05,27.780001,28.150000,26.990000,27.160000,15.695288,3089000
2009-03-06,27.309999,27.860001,27.049999,27.480000,15.880210,2375900
2009-03-09,27.100000,27.709999,26.850000,26.950001,15.573932,2236300
2009-03-10,27.500000,29.770000,27.309999,29.709999,17.168888,4796800
2009-03-11,30.010000,30.799999,29.090000,30.100000,17.394262,3973200
2009-03-12,30.000000,32.000000,29.540001,31.930000,18.451788,5833800
2009-03-13,32.150002,32.279999,30.740000,31.620001,18.272648,3502900
2009-03-16,31.920000,33.240002,31.780001,32.320000,18.677158,5037200
2009-03-17,32.500000,33.240002,32.070000,33.150002,19.156805,3295900
2009-03-18,32.709999,33.560001,32.250000,33.200001,19.185696,4219300
2009-03-19,33.599998,33.820000,32.169998,32.169998,18.590475,4649700
2009-03-20,32.380001,32.740002,31.770000,32.200001,18.607822,3852200
2009-03-23,33.310001,34.119999,32.860001,34.119999,19.717344,4522700
2009-03-24,33.720001,34.590000,33.450001,34.000000,19.648005,4530800
2009-03-25,34.250000,34.790001,32.660000,33.290001,19.237711,3707900
2009-03-26,33.840000,33.900002,32.980000,33.840000,19.555540,2658000
2009-03-27,33.490002,34.049999,32.900002,33.410000,19.307049,3765600
2009-03-30,32.500000,32.500000,31.270000,31.549999,18.232189,3058900
2009-03-31,32.340000,33.439999,32.020000,32.990002,19.064342,2894700
2009-04-01,32.450001,33.980000,32.150002,33.919998,19.601778,2706200
2009-04-02,34.730000,34.930000,34.209999,34.560001,19.971615,3383400
2009-04-03,34.560001,35.130001,34.169998,34.919998,20.179647,2496000
2009-04-06,34.730000,35.029999,34.259998,35.009998,20.231668,2666200
2009-04-07,34.500000,34.509998,33.939999,34.250000,19.792475,2370100
2009-04-08,34.250000,34.599998,33.779999,34.200001,19.763578,2576400
2009-04-09,35.099998,36.000000,35.099998,36.000000,20.803770,3907600
2009-04-13,35.750000,37.130001,35.560001,37.029999,21.398985,2331200
2009-04-14,37.290001,38.919998,37.150002,38.029999,21.976864,4963600
2009-04-15,37.799999,38.720001,37.570000,38.549999,22.277361,3179200
2009-04-16,38.849998,39.889999,38.240002,39.669998,22.924593,5850900
2009-04-17,39.740002,41.029999,39.599998,40.410000,23.352230,5198000
2009-04-20,39.599998,39.599998,38.330002,38.330002,22.150234,3050900
2009-04-21,37.720001,39.950001,37.400002,39.639999,22.907267,4299000
2009-04-22,39.000000,39.799999,38.810001,38.860001,22.456518,2867600
2009-04-23,39.200001,39.680000,38.779999,39.680000,22.930376,2350100
2009-04-24,39.919998,40.340000,39.590000,40.090000,23.167305,3020200
2009-04-27,39.360001,40.480000,39.360001,39.970001,23.097956,2656400
2009-04-28,39.700001,40.430000,39.470001,39.910000,23.063292,4735500
2009-04-29,39.689999,39.750000,39.259998,39.520000,23.245623,2448800
2009-04-30,39.849998,39.990002,39.009998,39.500000,23.233862,3871400
2009-05-01,39.410000,39.650002,38.860001,39.200001,23.057409,1678300
2009-05-04,39.610001,40.990002,39.549999,40.990002,24.110283,3481700
2009-05-05,40.980000,43.110001,40.669998,42.759998,25.151400,5044000
2009-05-06,43.049999,44.720001,43.049999,44.259998,26.033689,4074600
2009-05-07,45.000000,45.240002,42.900002,43.169998,25.392559,3645000
2009-05-08,44.000000,44.700001,43.250000,44.700001,26.292503,2285100
2009-05-11,43.720001,44.400002,43.560001,43.950001,25.851347,2197400
2009-05-12,44.250000,44.299999,42.189999,43.299999,25.469017,3378700
2009-05-13,42.549999,42.740002,41.200001,41.410000,24.357332,2328800
2009-05-14,41.090000,42.560001,41.080002,41.930000,24.663193,2387400
2009-05-15,42.020000,42.400002,41.349998,41.790001,24.580845,1463800
2009-05-19,43.250000,43.549999,42.509998,42.790001,25.169041,2311700
2009-05-20,43.250000,43.990002,42.770000,43.180000,25.398439,2457600
2009-05-21,42.169998,42.689999,41.349998,41.529999,24.427906,2378600
2009-05-22,41.500000,41.849998,40.599998,40.869999,24.039696,2872600
2009-05-25,41.000000,42.389999,41.000000,41.830002,24.604368,1823800
2009-05-26,41.810001,43.970001,41.310001,43.709999,25.710175,4390000
2009-05-27,43.730000,43.750000,41.790001,41.790001,24.580845,3438900
2009-05-28,42.500000,43.380001,41.799999,43.380001,25.516073,3442700
2009-05-29,43.299999,43.799999,42.599998,43.799999,25.763121,3104400
2009-06-01,44.410000,45.000000,44.290001,44.950001,26.439548,3165400
2009-06-02,44.500000,45.340000,44.330002,45.070000,26.510134,2404900
